,school_id,school_name,region,province,municipality,division,district,year_level,gender,enrollment,latitude,longitude
0,108351,Abo-Bukal Elementary School,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,22,14.1112319,121.4304149
1,108417,Adelina I Complex ES,IV-A (CALABARZON),Laguna,San Pedro,Laguna,San Pedro,grade 1,male,139,14.3521445,121.0414754
2,108452,Adia ES,IV-A (CALABARZON),Laguna,Santa Maria,Laguna,Santa Maria,grade 1,male,20,14.4924969,121.4413326
3,108094,Adlas ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,83,14.2482216,120.9675551
4,108177,Aguado ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,150,14.2578207,120.8642493
5,108016,Aguinaldo ES,IV-A (CALABARZON),Cavite,Kawit,Cavite,Kawit,grade 1,male,140,14.4451027,120.9069061
6,108003,Agus-os ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,7,14.2275768,120.8573546
7,108087,Agustin Abadilla ES,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,225,14.4157404,120.8505814
8,108188,Alaminos CS,IV-A (CALABARZON),Laguna,Alaminos,Laguna,Alaminos,grade 1,male,181,14.0616209,121.2603964
9,107980,Alapan I ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,207,14.4155155,120.918962
10,107981,Alapan II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus II,grade 1,male,56,14.4081951,120.9058691
11,107839,Alfonso ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,102,14.1214038,120.8613785
12,108178,Aliang ES,IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,Trece Martirez City,grade 1,male,52,14.2822215,120.868383
13,108004,Alulod ES,IV-A (CALABARZON),Cavite,Indang,Cavite,Indang II,grade 1,male,54,14.2235575,120.8872137
14,108352,Alumbrado ES,IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,Nagcarlan-Rizal,grade 1,male,18,14.1406891,121.3706017
15,107857,Amadeo ES,IV-A (CALABARZON),Cavite,Amadeo,Cavite,Amadeo,grade 1,male,104,14.1692753,120.9222119
16,108155,Amaya ES,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,330,14.384293,120.832259
17,109749,Ambray Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Ambray,grade 1,male,107,14.0647557,121.3214223
18,108084,Ambrocio Robles MES (San Jose ES),IV-A (CALABARZON),Cavite,Noveleta,Cavite,Noveleta,grade 1,male,46,14.4316957,120.8864526
19,107840,Amuyong ES,IV-A (CALABARZON),Cavite,Alfonso,Cavite,Alfonso,grade 1,male,30,14.073605,120.8527655
20,107968,Anabu I Elementary School,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,91,14.3764,120.936
21,107969,Anabu II ES,IV-A (CALABARZON),Cavite,Imus,Cavite,Imus I,grade 1,male,223,14.3876764,120.9400333
22,108173,Anastacio N.F. Dinglas ES (San Jose ES),IV-A (CALABARZON),Cavite,Ternate,Cavite,Ternate,grade 1,male,17,14.2708635,120.7281418
23,107944,Angel L. Bawalan ES (Alingaro ES),IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias I,grade 1,male,43,14.2915049,120.9019241
24,108487,Angela Ong Javier MES,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 1,male,37,14.4158525,121.4439011
25,107877,Aniban CS,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor II,grade 1,male,374,14.4609098,120.9642384
26,108378,Anibong Elementary School,IV-A (CALABARZON),Laguna,Pagsanjan,Laguna,Pagsanjan,grade 1,male,5,14.272535,121.4461327
27,108353,Antipolo Sulsuguin ES,IV-A (CALABARZON),Laguna,Rizal,Laguna,Nagcarlan-Rizal,grade 1,male,31,14.116741,121.3784595
28,109803,Antonia Manuel Magcase Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Sto. Angel,grade 1,male,54,14.0609057,121.3257337
29,108486,Antonio Adricula Sr. Memorial Elementary School,IV-A (CALABARZON),Laguna,Siniloan,Laguna,Siniloan,grade 1,male,43,14.427432,121.46336
30,108159,Antonio B. del Rosario Sr. Mem. Elementary School,IV-A (CALABARZON),Cavite,Tanza,Cavite,Tanza,grade 1,male,362,14.3342323,120.8493577
31,108252,Antonio Chipeco MS,IV-A (CALABARZON),Laguna,Calauan,Laguna,Calauan,grade 1,male,37,14.1784477,121.301384
32,108052,Anuling ES,IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),Cavite,Mendez,grade 1,male,49,14.1214158,120.8886488
33,108469,Aplaya Elementary School,IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,City of Sta. Rosa District II,grade 1,male,186,14.318072,121.121612
34,108405,Aplaya ES,IV-A (CALABARZON),Laguna,Pila,Laguna,Pila,grade 1,male,26,14.2583514,121.3527336
35,107936,Area J ES,IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,Cavite,General Mariano Alvarez,grade 1,male,297,14.2905226,121.0021121
36,108053,Asis ES,IV-A (CALABARZON),Cavite,Mendez (Mendez-Nunez),Cavite,Mendez,grade 1,male,72,14.1311947,120.9015642
37,109792,Atisan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,San Francisco,grade 1,male,19,13.9680531,121.271596
38,107957,Bacao ES,IV-A (CALABARZON),Cavite,General Trias,Cavite,General Trias II,grade 1,male,102,14.401422,120.8900839
39,108234,Baclaran ES,IV-A (CALABARZON),Laguna,Cabuyao,Laguna,Cabuyao,grade 1,male,130,14.2419316,121.1638798
40,107867,Bacoor ES,IV-A (CALABARZON),Cavite,Bacoor,Cavite,Bacoor I,grade 1,male,127,14.4129931,120.9736786
41,108088,Bagbag I Elementary School,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,59,14.423403,120.86777
42,164013,Bagbag II ES,IV-A (CALABARZON),Cavite,Rosario,Cavite,Rosario,grade 1,male,206,14.4195755,120.8628139
43,109777,Bagong Bayan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 1,male,69,14.0667,121.333
44,108095,Bagong Buhay ES,IV-A (CALABARZON),Cavite,Silang,Cavite,Silang I,grade 1,male,559,14.2739261,120.9947121
45,109778,Bagong Lipunan Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Fule Almeda,grade 1,male,71,14.0628334,121.3063058
46,109787,Bagong Pook Elementary School,IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,Lakeside,grade 1,male,34,14.0730138,121.3213684
