,school_id,school_name,region,province,municipality,division,year_level,gender,enrollment,latitude,longitude
0,301165,Alfonso National High School,Region IV-A - CALABARZON,Cavite,Alfonso,Cavite,first year,male,145,14.131842,120.855579
1,301166,Amadeo NHS,Region IV-A - CALABARZON,Cavite,Amadeo,Cavite,first year,male,242,14.1671436,120.9252487
2,301167,Amaya Sch. of Home Industries,Region IV-A - CALABARZON,Cavite,Tanza,Cavite,first year,male,561,14.36943629,120.8250083
3,301168,Anuling NHS,Region IV-A - CALABARZON,Cavite,Mendez (Mendez-Nunez),Cavite,first year,male,41,14.117203,120.895529
4,301169,Constancio E. Aure Sr. NHS (Asis NHS),Region IV-A - CALABARZON,Cavite,Mendez (Mendez-Nunez),Cavite,first year,male,146,14.137124,120.8996125
5,301170,Bacoor NHS-Tabing Dagat Annex,Region IV-A - CALABARZON,Cavite,Bacoor,Bacoor City,first year,male,553,14.46137211,120.9399464
6,301171,Bacoor NHS - Molino Main,Region IV-A - CALABARZON,Cavite,Bacoor,Bacoor City,first year,male,1296,14.42260395,120.9760045
7,301172,Bagbag NHS (Ligtong NHS),Region IV-A - CALABARZON,Cavite,Rosario,Cavite,first year,male,295,14.42055062,120.8663115
8,301173,Bendita NHS,Region IV-A - CALABARZON,Cavite,Magallanes,Cavite,first year,male,68,14.190337,120.757057
9,301174,Binakayan NHS,Region IV-A - CALABARZON,Cavite,Kawit,Cavite,first year,male,189,14.45735869,120.9218737
10,301175,Bucal NHS,Region IV-A - CALABARZON,Cavite,Maragondon,Cavite,first year,male,252,14.2734993,120.7538741
11,301176,Caluangan NHS,Region IV-A - CALABARZON,Cavite,Magallanes,Cavite,first year,male,31,14.1542253,120.7738827
12,301177,Carmona National High School,Region IV-A - CALABARZON,Cavite,Carmona,Cavite,first year,male,743,14.31445067,121.0543399
13,301178,Cavite Nat'l. Science HS,Region IV-A - CALABARZON,Cavite,Maragondon,Cavite,first year,male,70,14.2771274,120.734616
14,301179,Congressional NHS,Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,453,14.31801812,120.9523872
15,301180,Bulihan NHS,Region IV-A - CALABARZON,Cavite,Silang,Cavite,first year,male,701,14.27975861,120.9964593
16,301181,New Era National High School,Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,260,14.27936536,120.9652935
17,301182,Paliparan NHS (Dasmarinas NHS - Paliparan Annex),Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,658,14.31855645,120.9822704
18,301183,Dasmarinas East NHS (Annex C),Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,553,14.32134701,120.9714473
19,301184,Dasmarinas North National High School (Annex G),Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,668,14.34072158,120.950604
20,301185,Dasmarinas West NHS (Annex J),Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,470,14.32014633,120.9565315
21,301186,Dasmarinas NHS,Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,1031,14.32384724,120.9610739
22,301187,Pag-asa NHS (Dasmarinas NHS - Pag-asa Annex),Region IV-A - CALABARZON,Cavite,City Of Dasmarinas,Dasmarinas City,first year,male,250,14.31487459,120.9757788
23,301188,Eastern Bacoor NHS,Region IV-A - CALABARZON,Cavite,Bacoor,Bacoor City,first year,male,452,14.3972908,120.9900803
24,301189,Emiliano T. Tirona MNHS,Region IV-A - CALABARZON,Cavite,Kawit,Cavite,first year,male,500,14.44075148,120.9085484
25,301190,Gen. Emilio Aguinaldo NHS (Imus),Region IV-A - CALABARZON,Cavite,Imus,Imus City,first year,male,1180,14.4277054,120.9464661
26,301191,Gen. Emilio Aguinaldo NHS (Bailen),Region IV-A - CALABARZON,Cavite,General Emilio Aguinaldo,Cavite,first year,male,123,14.181841,120.799784
27,301192,Gen. Mariano Alvarez Tech. HS,Region IV-A - CALABARZON,Cavite,Gen. Mariano Alvarez,Cavite,first year,male,1028,14.2984089,121.0083594
28,301193,Gen. Vito Belarmino NHS,Region IV-A - CALABARZON,Cavite,Silang,Cavite,first year,male,186,14.20971043,120.9561322
29,301194,Gov. Ferrer MNHS (Main),Region IV-A - CALABARZON,Cavite,General Trias,Cavite,first year,male,634,14.3747904,120.8785629
30,301195,Halang Banaybanay NHS,Region IV-A - CALABARZON,Cavite,Amadeo,Cavite,first year,male,29,14.200696,120.931657
31,301196,Imus NHS,Region IV-A - CALABARZON,Cavite,Imus,Imus City,first year,male,1029,14.40703159,120.9262493
32,301197,Kaong NHS,Region IV-A - CALABARZON,Cavite,Silang,Cavite,first year,male,131,14.24345295,120.9957229
