ID,Region/Province,Municipality/City,2009,2012,2015
,National Capital Region (NCR),,,,
133901,1st district,Tondo,2.9,3.1,5.6
133902,,Binondo,1.0,1.5,3.5
133903,,Quiapo,2.1,2.1,7.1
133904,,San Nicolas,2.4,3.0,6.7
133905,,Santa Cruz,1.7,1.5,4.7
133906,,Sampaloc,1.3,0.8,2.7
133907,,San Miguel,1.4,1.2,7.2
133908,,Ermita,1.5,0.9,5.3
133909,,Intramuros,2.5,2.5,10.2
133910,,Malate,1.8,1.3,4.2
133911,,Paco,1.8,0.9,3.2
133912,,Pandacan,1.9,1.6,3.6
133913,,Port Area,11.9,10.0,12.2
133914,,Santa Ana,2.2,1.3,3.8
137401,2nd district,Mandaluyong  City,1.8,1.3,2.4
137402,,Marikina  City,2.2,1.4,2.6
137403,,Pasig City,2.2,1.8,2.5
137404,,Quezon City,2.4,1.6,3.3
137405,,San Juan City,1.5,0.3,2.4
137501,3rd district,Caloocan City,3.1,2.8,4.4
137502,,Malabon City,4.0,3.8,4.5
137503,,Navotas City,3.8,6.0,5.5
137504,,Valenzuela  City,3.7,2.3,3.6
137601,4th district,Las Piñas  City,2.8,1.4,2.9
137602,,Makati  City,1.4,0.5,1.9
137603,,Muntinlupa  City,2.4,1.9,2.9
137604,,Parañaque  City,2.0,1.1,2.7
137605,,Pasay City,1.7,1.9,3.0
137606,,Pateros,3.0,2.4,2.5
137607,,Taguig City,2.7,2.4,3.1
,Cordillera Administrative Region (CAR),,,,
140101,Abra,Bangued,16.8,10.9,10.3
140102,,Boliney,50.6,66.0,18.8
140103,,Bucay,36.2,37.6,15.8
140104,,Bucloc,77.2,42.1,21.0
140105,,Daguioman,32.2,37.0,30.3
140106,,Danglas,32.0,32.7,21.4
140107,,Dolores,33.5,23.6,16.3
140108,,La Paz,36.0,28.1,19.3
140109,,Lacub,67.2,57.8,27.1
140110,,Lagangilang,27.5,28.5,22.4
140111,,Lagayan,41.4,42.2,27.2
140112,,Langiden,46.0,40.8,17.4
140113,,Licuan-Baay (Licuan),46.7,45.9,27.7
140114,,Luba,36.2,44.8,18.4
140115,,Malibcong,55.6,51.5,44.5
140116,,Manabo,34.9,30.8,15.7
140117,,Peñarrubia,35.7,31.0,18.3
140118,,Pidigan,25.9,23.1,14.8
140119,,Pilar,42.8,38.4,18.3
140120,,Sallapadan,62.0,43.2,15.3
140121,,San Isidro,42.3,42.3,17.2
140122,,San Juan,33.7,22.0,16.8
140123,,San Quintin,28.7,22.5,11.6
140124,,Tayum,23.7,23.4,15.5
140125,,Tineg,43.2,78.3,35.8
140126,,Tubo,56.4,51.7,30.5
140127,,Villaviciosa,49.1,39.2,14.3
141101,Benguet,Atok,39.7,16.6,11.5
141102,,Baguio City,2.4,0.9,2.5
141103,,Bakun,53.7,26.5,10.0
141104,,Bokod,21.5,9.2,9.2
141105,,Buguias,42.0,13.1,5.8
141106,,Itogon,8.9,4.8,6.3
141107,,Kabayan,58.6,15.7,10.4
141108,,Kapangan,37.7,17.7,13.5
141109,,Kibungan,67.9,26.1,18.5
141110,,La Trinidad,5.4,1.7,2.1
141111,,Mankayan,16.5,6.2,9.3
141112,,Sablan,19.3,9.2,6.8
141113,,Tuba,14.2,4.6,6.8
141114,,Tublay,30.4,11.7,9.7
142701,Ifugao,Banaue,20.9,30.8,37.7
142702,,Hungduan,29.9,40.6,27.0
142703,,Kiangan,22.9,25.3,24.2
142704,,Lagawe,19.9,17.6,19.7
142705,,Lamut,18.2,17.2,21.2
142706,,Mayoyao,34.1,34.3,29.6
142707,,Alfonso Lista (Potia),37.1,21.5,20.8
142708,,Aguinaldo,33.2,53.6,31.4
142709,,Hingyon,25.2,29.9,32.4
142710,,Tinoc,49.6,53.5,34.5
142711,,Asipulo,47.5,55.3,44.9
143201,Kalinga,Balbalan,30.1,33.9,26.4
143206,,Lubuagan,24.8,26.1,26.6
143208,,Pasil,26.5,41.2,27.7
143209,,Pinukpuk,29.9,31.9,30.4
143211,,Rizal (Liwan),25.3,9.1,15.3
143213,,Tabuk City,17.3,8.8,17.7
143214,,Tanudan,30.7,40.7,38.6
143215,,Tinglayan,34.1,26.4,30.5
144401,Mountain Province,Barlig,27.4,16.7,18.0
144402,,Bauko,34.4,21.1,24.5
144403,,Besao,26.9,16.3,23.2
144404,,Bontoc,16.7,10.9,15.4
144405,,Natonin,37.4,39.7,35.7
144406,,Paracelis,46.7,40.6,30.6
144407,,Sabangan,26.0,10.9,19.1
144408,,Sadanga,39.0,42.7,37.4
144409,,Sagada,35.4,10.2,25.4
144410,,Tadian,36.2,21.6,31.6
148101,Apayao,Calanasan (Bayag),32.9,62.6,27.1
148102,,Conner,30.3,56.3,21.6
148103,,Flora,26.2,35.7,17.8
148104,,Kabugao,40.6,63.9,24.9
148105,,Luna,28.8,33.4,17.4
148106,,Pudtol,29.8,41.1,26.4
148107,,Santa Marcela,23.8,32.6,16.4
,Region I (Ilocos Region),,,,
12801,Ilocos Norte,Adams,29.4,17.1,16.5
